iter	Passed	Remaining
0	5	5634
1	10	5126
2	15	5028
3	20	5219
4	25	5087
5	30	5064
6	35	5054
7	40	5011
8	44	4941
9	49	4887
10	53	4851
11	58	4809
12	62	4781
13	67	4759
14	71	4714
15	75	4647
16	79	4605
17	83	4579
18	87	4534
19	92	4508
20	96	4481
21	100	4464
22	104	4432
23	109	4433
24	113	4416
25	117	4405
26	121	4392
27	126	4382
28	130	4361
29	134	4350
30	138	4339
31	142	4313
32	147	4309
33	151	4309
34	156	4308
35	160	4301
36	164	4293
37	168	4269
38	172	4251
39	176	4229
40	180	4223
41	184	4204
42	187	4177
43	191	4161
44	195	4158
45	199	4140
46	203	4124
47	207	4108
48	211	4097
49	214	4082
50	218	4065
51	222	4049
52	226	4046
53	230	4034
54	233	4019
55	237	4005
56	241	4000
57	245	3984
58	249	3971
59	252	3958
60	256	3949
61	260	3937
62	263	3926
63	267	3917
64	271	3906
65	275	3894
66	278	3884
67	282	3872
68	287	3876
69	291	3872
70	295	3862
71	299	3855
72	302	3844
73	306	3839
74	310	3831
75	314	3820
76	317	3811
77	321	3802
78	325	3792
79	329	3785
80	332	3775
81	336	3764
82	340	3759
83	344	3751
84	349	3758
85	352	3751
86	356	3744
87	361	3743
88	364	3730
89	368	3725
90	372	3716
91	376	3712
92	379	3703
93	383	3693
94	387	3689
95	390	3680
96	394	3674
97	398	3667
98	402	3665
99	406	3657
100	410	3649
101	414	3645
102	418	3641
103	422	3643
104	426	3635
105	430	3626
106	434	3629
107	438	3624
108	442	3616
109	445	3602
110	449	3601
111	453	3594
112	457	3589
113	460	3581
114	464	3576
115	468	3568
116	472	3563
117	476	3558
118	480	3554
119	483	3548
120	487	3540
121	490	3532
122	494	3527
123	498	3521
124	502	3514
125	505	3507
126	509	3502
127	513	3496
128	517	3490
129	520	3483
130	524	3479
131	528	3473
132	532	3469
133	535	3463
134	539	3459
135	543	3453
136	547	3450
137	551	3444
138	555	3442
139	559	3439
140	563	3434
141	567	3429
142	571	3423
