tid,did
6,6
7,7
8,8
12,12
14,14
16,16
18,18
20,20
22,22
28,28
32,32
41,42
60,62
236,6
237,7
238,8
242,12
244,14
246,16
248,18
250,20
252,22
258,28
262,32
271,42
290,62
1770,6
1771,7
1772,8
1776,12
1778,14
1780,16
1782,18
1784,20
1786,22
1792,28
1796,32
1805,42
1824,62
1886,6
1887,7
1888,8
1892,12
1894,14
1896,16
1898,18
1900,20
1902,22
1908,28
1912,32
1921,42
1940,62
1948,7
1949,8
1953,12
1955,14
1957,16
1959,18
1961,20
1963,22
1977,42
1993,62
2065,171
2073,181
2075,183
2076,184
2111,171
2119,181
2121,183
2122,184
2276,279
2356,279
2930,171
2938,181
2940,183
2941,184
2980,279
3022,307
3034,307
3047,307
3050,327
3051,328
3060,340
3061,342
3481,300
3486,313
3489,327
3490,328
3499,340
3500,342
3537,443
4186,300
4191,313
4194,327
4195,328
4204,340
4205,342
4242,443
75169,300
125917,183
145682,313
145825,307
145956,6
145957,7
145960,12
145961,14
145962,16
145963,18
145964,20
145966,22
145969,28
145973,32
145978,42
146032,171
146059,279
146060,300
167150,6
167152,12
167153,14
167155,16
167156,18
167157,22
167159,28
167162,32
167172,300
167173,307
168873,20
233093,12
359961,12
360974,14
361411,6
361413,12
361414,14
361416,16
361417,18
361418,20
361419,22
361421,28
361422,32
361430,300
361482,6
361484,12
361485,14
361487,16
361488,18
361489,22
361491,28
361494,32
361504,307
361505,300
361553,181
361636,183
361669,171
