dataset_id,dataset_name,dataset_source,suite,task,framework,seed,time_budget_s,n_train,n_test,n_features_before,n_features_after,n_added,score_holdout,scorer_name,scorer_greater_is_better,score_nofe_same_seed,pct_improvement,wall_time_fit,wall_time_transform,wall_time_total,peak_rss_mb,n_boost_rounds,status,error_msg,adapter_version,internal_log_json
361618,forest_fires,openml_task,smoke_test,regression,nofe,1,1200,413,104,12,12,0,76.5361279964511,rmse,False,76.5361279964511,-0.0,0.0024292469024658203,6.771087646484375e-05,6.517640113830566,336.21484375,2,ok,,1.0.0,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,nofe,2,1200,228,58,9,9,0,0.7101865136298422,binary_roc_auc,True,0.7101865136298422,0.0,0.0015316009521484375,3.4809112548828125e-05,5.925079822540283,317.08203125,48,ok,,1.0.0,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,nofe,3,1200,228,58,9,9,0,0.7094691535150646,binary_roc_auc,True,0.7094691535150646,0.0,0.001722097396850586,3.695487976074219e-05,6.61825704574585,318.35546875,15,ok,,1.0.0,{}
361618,forest_fires,openml_task,smoke_test,regression,nofe,3,1200,413,104,12,12,0,78.06841423527099,rmse,False,78.06841423527099,-0.0,0.002263307571411133,6.937980651855469e-05,6.744488477706909,340.5390625,405,ok,,1.0.0,{}
361618,forest_fires,openml_task,smoke_test,regression,nofe,0,1200,413,104,12,12,0,110.71788633302435,rmse,False,110.71788633302435,-0.0,0.001519918441772461,7.176399230957031e-05,6.486497163772583,330.33984375,2000,ok,,1.0.0,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,featuretools,0,1200,228,58,9,370,361,0.7144906743185079,binary_roc_auc,True,,,0.7533829212188721,0.555194616317749,6.091658353805542,346.6484375,6,ok,,upstream-1.x,{}
361618,forest_fires,openml_task,smoke_test,regression,nofe,4,1200,413,104,12,12,0,74.99468974133806,rmse,False,74.99468974133806,-0.0,0.0019350051879882812,0.00010204315185546875,6.133467435836792,333.953125,56,ok,,1.0.0,{}
361618,forest_fires,openml_task,smoke_test,regression,featuretools,1,1200,413,104,12,415,403,77.39471487074366,rmse,False,76.5361279964511,-0.01121805997727462,0.8858718872070312,0.8988406658172607,6.6515467166900635,367.41015625,37,ok,,upstream-1.x,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,featuretools,4,1200,228,58,9,369,360,0.7152080344332854,binary_roc_auc,True,,,0.747222900390625,0.5400664806365967,6.148845434188843,344.390625,57,ok,,upstream-1.x,{}
361618,forest_fires,openml_task,smoke_test,regression,nofe,2,1200,413,104,12,12,0,39.45767966579137,rmse,False,39.45767966579137,-0.0,0.0017964839935302734,9.894371032714844e-05,6.810968399047852,336.69921875,13,ok,,1.0.0,{}
361618,forest_fires,openml_task,smoke_test,regression,featuretools,4,1200,413,104,12,417,405,73.89271284349579,rmse,False,74.99468974133806,0.014694065695092186,0.9191088676452637,0.7816119194030762,6.633989572525024,366.65234375,2000,ok,,upstream-1.x,{}
361618,forest_fires,openml_task,smoke_test,regression,featuretools,2,1200,413,104,12,416,404,34.519687940143484,rmse,False,39.45767966579137,0.12514653085211636,0.8610830307006836,0.8149473667144775,7.131310701370239,366.48046875,6,ok,,upstream-1.x,{}
23,cmc,openml_task,smoke_test,multiclass,nofe,2,1200,1178,295,9,9,0,0.9421315007038036,categorical_crossentropy,False,0.9421315007038036,-0.0,0.0034189224243164062,0.0002090930938720703,7.081002712249756,335.671875,41,ok,,1.0.0,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,nofe,4,1200,228,58,9,9,0,0.7166427546628407,binary_roc_auc,True,0.7166427546628407,0.0,0.0016870498657226562,7.176399230957031e-05,6.936665773391724,316.15625,10,ok,,1.0.0,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,featuretools,3,1200,228,58,9,369,360,0.6700143472022955,binary_roc_auc,True,0.7094691535150646,-0.05561172901921145,0.7764158248901367,0.5520403385162354,7.721111536026001,347.8984375,19,ok,,upstream-1.x,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,nofe,0,1200,228,58,9,9,0,0.659971305595409,binary_roc_auc,True,0.659971305595409,0.0,0.0036971569061279297,5.125999450683594e-05,7.262549877166748,321.5625,11,ok,,1.0.0,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,nofe,1,1200,228,58,9,9,0,0.7101865136298422,binary_roc_auc,True,0.7101865136298422,0.0,0.004090070724487305,5.841255187988281e-05,7.348156213760376,317.73046875,64,ok,,1.0.0,{}
361618,forest_fires,openml_task,smoke_test,regression,featuretools,0,1200,413,104,12,414,402,110.39307961617972,rmse,False,110.71788633302435,0.002933642680530042,0.8412208557128906,0.8448624610900879,7.787792205810547,362.68359375,1,ok,,upstream-1.x,{}
23,cmc,openml_task,smoke_test,multiclass,nofe,1,1200,1178,295,9,9,0,0.9272280438471648,categorical_crossentropy,False,0.9272280438471648,-0.0,0.0029256343841552734,0.00019121170043945312,7.465186595916748,337.11328125,25,ok,,1.0.0,{}
23,cmc,openml_task,smoke_test,multiclass,nofe,0,1200,1178,295,9,9,0,0.8782893031582995,categorical_crossentropy,False,0.8782893031582995,-0.0,0.0032994747161865234,0.0002357959747314453,7.739048957824707,336.41015625,39,ok,,1.0.0,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,featuretools,2,1200,228,58,9,370,361,0.7173601147776184,binary_roc_auc,True,0.7101865136298422,0.010101010101010137,0.9313671588897705,0.6990482807159424,8.76751184463501,345.66015625,49,ok,,upstream-1.x,{}
23,cmc,openml_task,smoke_test,multiclass,featuretools,2,1200,1178,295,9,333,324,0.958269373744221,categorical_crossentropy,False,0.9421315007038036,-0.017129108864698765,0.935776948928833,0.7017209529876709,8.768209457397461,373.82421875,29,ok,,upstream-1.x,{}
23,cmc,openml_task,smoke_test,multiclass,featuretools,1,1200,1178,295,9,333,324,0.898899501259044,categorical_crossentropy,False,0.9272280438471648,0.030551861298955908,0.9790387153625488,0.8349039554595947,9.050753831863403,372.97265625,28,ok,,upstream-1.x,{}
23,cmc,openml_task,smoke_test,multiclass,featuretools,0,1200,1178,295,9,333,324,0.9083928796699492,categorical_crossentropy,False,0.8782893031582995,-0.0342752398365758,0.9465575218200684,0.7416188716888428,9.409387826919556,375.7890625,27,ok,,upstream-1.x,{}
breast_cancer,breast-cancer,pmlb,smoke_test,classification,featuretools,1,1200,228,58,9,370,361,0.7690100430416069,binary_roc_auc,True,0.7101865136298422,0.08282828282828285,1.21063232421875,0.7465124130249023,9.941056966781616,341.78515625,28,ok,,upstream-1.x,{}
23,cmc,openml_task,smoke_test,multiclass,nofe,3,1200,1178,295,9,9,0,0.906591512843714,categorical_crossentropy,False,0.906591512843714,-0.0,0.0022466182708740234,0.00014090538024902344,2.143364906311035,336.31640625,53,ok,,1.0.0,{}
