tid,did
2280,189
2281,190
2282,191
2283,192
2286,195
2287,196
2288,197
2289,198
2290,199
2291,200
2292,201
2294,203
2295,204
2297,206
2298,207
2300,209
2301,210
2304,213
2305,214
2306,215
2307,216
2308,217
2309,218
2310,222
2311,223
2312,224
2313,225
2315,227
2316,228
2317,229
2318,230
2320,232
2994,196
2995,199
2996,200
2998,203
2999,207
3000,213
3001,222
3002,224
3003,229
3004,230
3005,232
3008,299
3009,300
4709,299
4727,560
4728,561
4729,566
4730,569
4731,196
4732,199
4733,200
4735,203
4736,207
4737,213
4738,222
4739,224
4740,229
4741,230
4742,232
4745,299
4763,560
4764,561
4765,566
4766,569
4767,205
4769,296
4772,308
4774,344
4779,405
4790,416
4796,422
4808,434
4817,456
4818,482
4823,491
4824,492
4825,494
4828,497
4829,498
4830,500
4831,503
4832,504
4835,507
4837,509
4838,510
4839,511
4840,512
4841,513
4844,518
4845,519
4846,520
4847,521
4848,522
4849,523
4852,526
4853,527
4854,528
4855,529
4856,530
4857,531
4858,533
4859,534
4860,535
4861,536
4862,537
4865,540
4866,541
4867,542
4868,543
4869,544
4871,546
4872,547
4873,549
4874,550
4875,551
5042,189
5043,190
5044,191
5045,192
5048,195
5049,197
5050,198
5051,201
5052,204
5053,205
5054,206
5056,209
5057,210
5060,214
5061,215
5062,216
5063,217
5064,218
5065,223
5066,225
5068,227
5069,228
5072,296
5075,308
5077,344
5082,405
5093,416
5099,422
5111,434
5120,456
5121,482
5126,491
5127,492
5128,494
5131,497
5132,498
5133,500
5134,503
5135,504
5138,507
5140,509
5141,510
5142,511
5143,512
5144,513
5147,518
5148,519
5149,520
5150,521
5151,522
5152,523
5155,526
5156,527
5157,528
5158,529
5159,530
5160,531
5161,533
5162,534
5163,535
5164,536
5165,537
5168,540
5169,541
5170,542
5171,543
5172,544
5174,546
5175,547
5176,549
5177,550
5178,551
5482,196
5483,199
5484,200
5486,203
5487,207
5488,213
5489,222
5490,224
5491,229
5492,230
5493,232
5496,299
5514,560
5515,561
5516,566
5517,569
146843,560
146844,561
146845,566
146846,569
167146,531
167147,531
167148,531
211691,195
211692,491
211694,560
211695,561
211696,566
211725,196
211726,199
211727,200
211728,203
211729,207
211730,213
211731,222
211732,224
211733,229
211734,230
211735,232
211738,299
211756,560
211757,561
211758,566
211759,569
211867,196
211868,199
211869,200
211870,203
211871,207
211872,213
211873,222
211874,224
211875,229
211876,230
211877,232
211880,299
211898,560
211899,561
211900,566
211901,569
211995,196
211996,199
211997,200
211998,203
211999,207
212000,213
212001,222
212002,224
212003,229
212004,230
212005,232
212008,299
212026,560
212027,561
212028,566
212029,569
359930,550
359931,546
359932,541
359933,507
359936,216
359939,422
359940,416
359946,201
359950,531
360002,547
360003,522
360004,543
360008,566
360009,534
360010,513
360011,482
360012,536
360013,533
360015,546
360016,549
360017,494
360025,223
360039,541
360048,512
360049,550
360053,507
360054,529
360055,504
360058,405
360064,503
360069,308
360071,225
360072,189
360074,422
360075,416
360076,198
360080,296
360081,201
360083,216
360086,537
360089,218
360095,344
360096,215
361028,296
