dataset,seed,config,task,cv_gain,test_gain,overfit_gap,base_test,new_test,n_new_feats,gens_completed,wall_time_s,evals,evals_per_min
churn,42,full,classification,0.0,-0.0,0.0,0.1587664446934734,0.1587664446934734,0,3,639.3,43,4.0
churn,43,full,classification,0.0069477135489361,0.0243258225861945,-0.0173781090372583,0.1814796205389761,0.1770649792434769,3,11,587.0,415,42.4
churn,44,full,classification,0.0069727908591481,0.0066735886996379,0.0002992021595101,0.147965985271768,0.1469785210777917,1,7,615.6,153,14.9
spambase,42,full,classification,-0.0245953878003167,-0.0440220074403285,0.0194266196400118,0.1416127631712564,0.147846841725447,0,5,580.5,155,16.0
spambase,43,full,classification,0.0263904909630163,-0.0222407841661087,0.048631275129125,0.1215225577728083,0.1242253149739546,0,5,383.3,128,20.0
spambase,44,full,classification,0.0058959173430593,0.0249040419420421,-0.0190081245989828,0.1270222855677995,0.1238589169914045,4,7,489.7,117,14.3
hypothyroid,42,full,classification,0.0,-0.0,0.0,0.0807183827523752,0.0807183827523752,0,5,294.0,178,36.3
hypothyroid,43,full,classification,0.1028950721972986,-0.024543025978685,0.1274380981759836,0.0797597551173051,0.0817173011046329,4,9,636.2,110,10.4
hypothyroid,44,full,classification,0.0,-0.0,0.0,0.0815783400206398,0.0815783400206398,0,5,602.9,70,7.0
coil2000,42,full,classification,0.0,-0.0,0.0,0.2452925309189236,0.2452925309189236,0,6,294.5,190,38.7
coil2000,43,full,classification,0.0024874496279051,-0.008170310682183,0.0106577603100882,0.2188671331092563,0.2206553456665808,0,5,294.3,213,43.4
coil2000,44,full,classification,0.008626679229615,-0.0037445825247414,0.0123712617543565,0.2178404429051273,0.2186561644582577,0,5,387.9,163,25.2
satimage,42,full,classification,0.0372238399588093,0.054461151446574,-0.0172373114877646,0.3053690026926626,0.2887382546453167,0,5,636.1,64,6.0
satimage,43,full,classification,0.0271624230900536,0.0507380370507599,-0.0235756139607063,0.2311397714015427,0.2194121926088867,0,2,655.6,25,2.3
satimage,44,full,classification,0.0490702745739646,0.0419000770925784,0.0071701974813861,0.234928696695024,0.2250851657732427,0,2,978.3,18,1.1
splice,42,full,classification,0.0174724936688072,-0.0603945085425151,0.0778670022113224,0.1391760784203857,0.1475815498814046,1,2,688.1,23,2.0
splice,43,full,classification,-0.0075445183834651,-7.591320381853394e-05,-0.0074686051796466,0.2186925859694247,0.2187091876250361,2,10,615.7,323,31.5
splice,44,full,classification,0.030337562256521,0.0231074235032096,0.0072301387533114,0.1729912064411572,0.168993825140516,2,11,613.6,184,18.0
optdigits,42,full,classification,0.0,-0.0,0.0,0.0554084381010691,0.0554084381010691,0,1,899.3,0,0.0
optdigits,43,full,classification,0.0,-0.0,0.0,0.12691843378892925,0.12691843378892925,0,1,1732.7,0,0.0
optdigits,44,full,classification,0.0,-0.0,0.0,0.06561146230020667,0.06561146230020667,0,1,1732.7,0,0.0
