dataset,seed,config,task,cv_gain,test_gain,overfit_gap,base_test,new_test,n_new_feats,gens_completed,wall_time_s,evals,evals_per_min
churn,42,full,classification,0.0,-0.0,0.0,0.15876644469347342,0.15876644469347342,0,5,602.2,114,11.4
churn,43,full,classification,-0.02104437712954637,0.047240777146190634,-0.068285154275737,0.18147962053897615,0.17290638175611137,2,7,603.1,126,12.5
spambase,42,full,classification,-0.024595387800316733,-0.044022007440328574,0.01942661964001184,0.14161276317125646,0.14784684172544707,0,5,495.6,92,11.1
churn,44,full,classification,0.0069727908591481445,0.006673588699637968,0.0002992021595101769,0.14796598527176805,0.1469785210777917,1,6,758.2,98,7.8
spambase,43,full,classification,0.02136307653752684,-0.022240784166108724,0.04360386070363556,0.12152255777280833,0.12422531497395468,0,5,609.4,57,5.6
spambase,44,full,classification,0.02994492384762505,-0.014649695608177768,0.044594619455802814,0.12702228556779954,0.1288831235333198,4,4,684.8,61,5.3
hypothyroid,42,full,classification,0.02877274646491955,0.000260629968973326,0.028512116495946222,0.08071838275237526,0.08069734512017664,1,6,681.1,116,10.2
hypothyroid,43,full,classification,0.07592417029426497,-0.01624044991930728,0.09216462021357225,0.07975975511730511,0.08105508958826842,3,7,601.7,147,14.7
hypothyroid,44,full,classification,0.0,-0.0,0.0,0.08157834002063986,0.08157834002063986,0,5,482.1,137,17.1
coil2000,42,full,classification,0.007140171954550517,0.034201720974484595,-0.02706154901993408,0.2452925309189236,0.23690310387729224,1,8,614.9,132,12.9
coil2000,43,full,classification,0.002487449627905198,-0.008170310682183069,0.010657760310088266,0.21886713310925637,0.22065534566658082,0,5,433.9,176,24.3
coil2000,44,full,classification,0.0,-0.0,0.0,0.21784044290512738,0.21784044290512738,0,4,611.2,57,5.6
satimage,42,full,classification,0.03722383995880936,0.054461151446574006,-0.017237311487764646,0.3053690026926626,0.2887382546453167,0,2,896.3,25,1.7
satimage,44,full,classification,0.0490702745739646,0.041900077092578425,0.007170197481386177,0.23492869669502403,0.22508516577324278,0,2,617.3,3,0.3
satimage,43,full,classification,0.027162423090053615,0.050738037050759986,-0.02357561396070637,0.23113977140154277,0.21941219260888672,0,2,992.3,16,1.0
splice,42,full,classification,0.011340236560774286,-0.06039450854251515,0.07173474510328944,0.13917607842038576,0.1475815498814046,1,6,539.4,105,11.7
splice,43,full,classification,0.005775067499080904,0.021287237899095153,-0.01551217040001425,0.2186925859694247,0.21403722465225286,1,6,818.9,98,7.2
splice,44,full,classification,0.0020543576004230643,-0.0,0.0020543576004230643,0.17299120644115723,0.17299120644115723,1,7,611.2,70,6.9
optdigits,43,full,classification,0.0,-0.0,0.0,0.12691843378892925,0.12691843378892925,0,1,1278.6,0,0.0
optdigits,42,full,classification,0.043198197882114375,-0.02601660125919961,0.06921479914131398,0.05540843810106917,0.056849977601705744,3,2,1596.1,25,0.9
ann_thyroid,42,full,classification,0.0,-0.0,0.0,0.004981179901586574,0.004981179901586574,0,5,519.7,117,13.5
ann_thyroid,43,full,classification,0.0,-0.0,0.0,0.014538846726909303,0.014538846726909303,0,3,607.1,19,1.9
optdigits,44,full,classification,0.03204142586026892,-0.0,0.03204142586026892,0.06561146230020667,0.06561146230020667,1,2,1170.7,26,1.3
ann_thyroid,44,full,classification,0.0,-0.0,0.0,0.010906583665147669,0.010906583665147669,0,5,421.7,140,19.9
503_wind,42,full,regression,0.011857828372966832,0.007316996637352632,0.0045408317356142,2.9672649508678197,2.9455534831270156,3,10,607.2,195,19.3
503_wind,43,full,regression,0.00023005887653280136,0.0030079811451111443,-0.002777922268578343,3.041350783178106,3.0322024573365574,1,6,461.0,91,11.8
503_wind,44,full,regression,0.00378935375392539,0.0024475399253516875,0.0013418138285737026,3.1279513556286203,3.120295569776686,0,5,444.9,156,21.0
537_houses,42,full,regression,0.04015011819809138,0.04460337331390526,-0.0044532551158138756,47957.73002347073,45818.653487945936,4,7,639.3,110,10.3
537_houses,43,full,regression,0.035895813056828596,0.04452638006951361,-0.008630567012685011,46558.95809211836,44485.856228467695,6,5,676.1,97,8.6
537_houses,44,full,regression,0.0,-0.0,0.0,45935.41378415,45935.41378415,0,6,562.7,101,10.8
573_cpu_act,42,full,regression,0.029171121912992374,0.00028033193805669817,0.028890789974935677,2.2710041304116464,2.27036749541963,2,9,643.6,171,15.9
573_cpu_act,43,full,regression,0.035748069378903645,-0.0010655575014499805,0.036813626880353625,2.1748719023510596,2.177189353431958,1,6,603.2,85,8.5
573_cpu_act,44,full,regression,0.04036257370137413,0.06924646752310384,-0.028883893821729713,2.3295638221978794,2.1682497559485916,1,6,436.0,91,12.5
4544_GeographicalOriginalofMusic,42,full,regression,0.012066358933511323,-0.004874327847747887,0.01694068678125921,0.4868917681736091,0.4892650383268002,1,6,615.8,77,7.5
4544_GeographicalOriginalofMusic,43,full,regression,-0.005784735707429157,-0.007883591246329247,0.0020988555389000905,0.5305713954056528,0.5347542034928614,0,5,515.4,94,10.9
4544_GeographicalOriginalofMusic,44,full,regression,0.03805975092144737,-0.011339582672589717,0.04939933359403709,0.48812089150872284,0.49365597882560003,1,8,638.4,105,9.9
synthetic_era,42,full,era,0.006328307844841152,0.010450579516964487,-0.004122271672123335,0.6878769112613493,0.6983274907783138,3,9,668.3,212,19.0
synthetic_era,43,full,era,-0.001026272163443969,0.002727920569806086,-0.0037541927332500552,0.6878769112613493,0.6906048318311554,1,8,652.8,140,12.9
synthetic_era,44,full,era,0.00704036895928951,0.005217875486007828,0.0018224934732816818,0.6878769112613493,0.6930947867473571,2,6,317.1,149,28.2
churn,42,gitold,classification,0.043820657103905356,0.007191684839702474,0.036628972264202884,0.15876644469347342,0.15762464638820106,2,8,447.6,102,13.7
churn,43,gitold,classification,0.0042511339309298625,0.034474381679211644,-0.030223247748281782,0.18147962053897615,0.17522322248877317,3,9,617.7,116,11.3
churn,44,gitold,classification,0.031020062410002703,-0.04690087048807097,0.07792093289807367,0.14796598527176805,0.15490571925264776,3,4,601.6,19,1.9
spambase,42,gitold,classification,0.09407716441201353,-0.008799474510911556,0.10287663892292508,0.14161276317125646,0.14285888115919643,1,6,565.0,67,7.1
spambase,43,gitold,classification,0.037212567092331006,-0.0,0.037212567092331006,0.12152255777280833,0.12152255777280833,2,6,440.2,91,12.4
spambase,44,gitold,classification,0.019018300955760434,0.014220450830448985,0.00479785012531145,0.12702228556779954,0.1252159712593069,3,7,836.9,42,3.0
hypothyroid,42,gitold,classification,0.05985832840036509,0.07664039873226895,-0.01678207033190386,0.08071838275237526,0.07453209294680534,8,7,666.4,66,5.9
hypothyroid,43,gitold,classification,0.16387887342992052,-0.11087852243036415,0.2747573958602847,0.07975975511730511,0.0886034000229048,6,6,671.6,55,4.9
hypothyroid,44,gitold,classification,0.194148034066786,-0.12030613336633436,0.3144541674331204,0.08157834002063986,0.09139271587802847,4,6,675.2,47,4.2
coil2000,42,gitold,classification,0.02553477135579592,0.012709446729677098,0.01282532462611882,0.2452925309189236,0.2421749984369274,2,7,610.3,92,9.0
coil2000,43,gitold,classification,0.00690870099176391,0.002029546349976601,0.004879154641787309,0.21886713310925637,0.21842293209782918,1,7,605.5,95,9.4
coil2000,44,gitold,classification,0.021591686342562928,-0.005839513184245105,0.02743119952680803,0.21784044290512738,0.2191125251019288,2,7,498.9,111,13.3
satimage,42,gitold,classification,0.0,-0.0,0.0,0.3053690026926626,0.3053690026926626,0,7,607.0,76,7.5
satimage,43,gitold,classification,-0.004056546679767259,0.015458015317989803,-0.019514561997757064,0.23113977140154277,0.2275668091200409,2,6,664.9,77,6.9
satimage,44,gitold,classification,0.007008560076169795,0.016172616797731215,-0.00916405672156142,0.23492869669502403,0.23112928474685882,2,4,1160.1,44,2.3
splice,42,gitold,classification,0.0,-0.0,0.0,0.13917607842038576,0.13917607842038576,0,1,610.3,0,0.0
splice,43,gitold,classification,0.0,-0.0,0.0,0.2186925859694247,0.2186925859694247,0,1,689.6,0,0.0
splice,44,gitold,classification,0.0,-0.0,0.0,0.17299120644115723,0.17299120644115723,0,1,689.5,0,0.0
optdigits,42,gitold,classification,0.0,-0.0,0.0,0.05540843810106917,0.05540843810106917,0,1,1196.5,0,0.0
optdigits,43,gitold,classification,0.0,-0.0,0.0,0.12691843378892925,0.12691843378892925,0,1,1196.8,0,0.0
optdigits,44,gitold,classification,0.0,-0.0,0.0,0.06561146230020667,0.06561146230020667,0,2,610.2,4,0.4
ann_thyroid,42,gitold,classification,0.17585410852521494,-0.0,0.17585410852521494,0.004981179901586574,0.004981179901586574,0,5,610.0,50,4.9
ann_thyroid,43,gitold,classification,0.021951829038147432,-0.030444850045406043,0.05239667908355347,0.014538846726909303,0.0149814800397917,1,4,624.3,13,1.2
ann_thyroid,44,gitold,classification,0.20947052381597325,-0.0,0.20947052381597325,0.010906583665147669,0.010906583665147669,0,5,627.3,18,1.7
503_wind,42,gitold,regression,0.005345205967518315,-0.002753976141422492,0.008099182108940808,2.9672649508678197,2.9754367277753286,1,7,469.3,43,5.5
503_wind,43,gitold,regression,0.0031700486735065088,0.005147967261233725,-0.001977918587727216,3.041350783178106,3.025694008864898,1,6,426.0,33,4.6
503_wind,44,gitold,regression,-0.00047995616089692764,0.011652415870546932,-0.01213237203144386,3.1279513556286203,3.0915031654934704,3,9,773.7,44,3.4
537_houses,42,gitold,regression,0.028271133838727668,0.0504394502754241,-0.02216831643669643,47957.73002347073,45538.76848462916,4,6,772.5,75,5.8
537_houses,43,gitold,regression,0.03544029273549753,0.042081260738100305,-0.006640968002602776,46558.95809211836,44599.69843694922,4,5,570.1,59,6.2
537_houses,44,gitold,regression,0.028759950856760055,0.027380278724904308,0.001379672131855747,45935.41378415,44677.689351395886,4,7,637.7,72,6.8
573_cpu_act,42,gitold,regression,0.07772441828309813,0.0007035984815801994,0.07702081980151793,2.2710041304116464,2.2694062553467904,8,10,602.6,117,11.6
573_cpu_act,43,gitold,regression,-0.033181573412955016,0.008640363197039697,-0.04182193660999471,2.1748719023510596,2.156080219121306,4,11,749.0,44,3.5
573_cpu_act,44,gitold,regression,0.0638732775747522,-0.0,0.0638732775747522,2.3295638221978794,2.3295638221978794,0,5,374.7,66,10.6
4544_GeographicalOriginalofMusic,42,gitold,regression,0.027854799557050988,-0.004874327847747887,0.03272912740479887,0.4868917681736091,0.4892650383268002,1,6,465.7,111,14.3
4544_GeographicalOriginalofMusic,43,gitold,regression,0.020910050437704768,-0.0028146507381454924,0.02372470117585026,0.5305713954056528,0.5320647686035167,1,6,262.5,25,5.7
4544_GeographicalOriginalofMusic,44,gitold,regression,0.03698683512135153,0.008931409255330872,0.028055425866020656,0.48812089150872284,0.4837612839712674,12,10,628.4,131,12.5
synthetic_era,42,gitold,era,0.00516625328138992,0.011131156560043487,-0.005964903278653567,0.6878769112613493,0.6990080678213928,3,5,206.0,60,17.5
synthetic_era,43,gitold,era,-0.00048030410763545337,0.0071186468214260445,-0.007598950929061498,0.6878769112613493,0.6949955580827754,2,10,397.5,76,11.5
synthetic_era,44,gitold,era,0.006081314136789434,0.004139881622721386,0.0019414325140680476,0.6878769112613493,0.6920167928840707,3,4,359.7,49,8.2
